PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the ratio data to the Hill equation.,The Hill slope from a fit of the ratio data to the Hill equation.,R^2 fit value of ratio curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the ratio data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the ratio data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.0007,0.0016,0.0037,0.0082,0.0183,0.0409,0.0915,0.2045,0.4572,1.0224,2.286,5.1115,11.4293,25.5558,57.1429,
1,11112150,135398658,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Inactive,0,,,Inactive,,,,,,,,,,4,,9.662,-25.69,-28.53,-4.86,-20.76,8.423,-20.29,-9.777,-23.91,1.833,-32.12,-10.52,-21.41,,9.662,,QC'd by Prestwick
2,4252894,3246139,C1=CC(=CC=C1C(=O)CSC2=NC(=NC3=C2NC=N3)N)Br,Active,46,,,Inhibitor,1.9953,86.5778,,Partial curve; high efficacy,-5.7,1.21,0.9679,-96.4222,-9.8444,-2.1,0 0 0 0 0 0 0,-85.97,-7.085,,-1.134,,-18.58,,-15.89,,-19.68,,-58.97,,-85.97,,,QC'd by NCI
3,26751166,10082482,COC(=O)C([C@@H]1CCCC(=O)C1)C(=O)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.0059,-2.376,,-4.157,,24.42,,16.83,,-13.09,,8.697,,-0.0059,,,QC'd by BUCMLD
4,4239835,3234942,COC1=CC=C(C=C1)C2=NC3=CN=C(N=C3N(C2=O)CC4=CC=C(C=C4)F)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,26.53,,,9.882,,-7.409,,-9.693,,-10.89,,-12.95,,16.3,,26.53,QC'd by Pharmacopeia
5,4253520,266698,C1CCC(C1)(C#N)NC2=CC=C(C=C2)C3=CC=C(C=C3)NC4(CCCC4)C#N,Inactive,0,,,Inactive,,,,,,,,,,4,,4.932,-34.24,,-18.36,,-14.31,,-19.14,,-35.31,,-32.95,,4.932,,,QC'd by NCI
