PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically signficant, but below 80% of control.",The logarithm of the AC50 from a fit of the ratio data to the Hill equation.,The Hill slope from a fit of the ratio data to the Hill equation.,R^2 fit value of ratio curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the ratio data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the ratio data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.0007,0.0016,0.0037,0.0082,0.0183,0.0409,0.0915,0.2045,0.4572,1.0224,2.286,5.1115,11.4293,25.5558,57.1429,
1,11113142,6604612,CC[C@@H]1CN2CC[C@@H]1C[C@H]2[C@H](C3=C4C=C(C=CC4=NC=C3)OC)O,Active,99,,,Inhibitor,0.0016,99.1148,,Complete curve; high efficacy,-8.8,1.4641,0.9091,-89.4496,9.6652,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-97.15,1.339,-54.72,-65.38,-75.9,-80.3,-81.4,-85.03,-86.36,-95.24,-90.27,-88.79,-89.92,,-100.4,-97.15,QC'd by Timtec
2,11113177,6604463,CN1C[C@@H](C[C@@]2([C@@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br,Active,99,,,Inhibitor,0.0025,100.34,,Complete curve; high efficacy,-8.6,0.9,0.9499,-91.9706,8.3691,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-98.68,-4.853,-37.7,-57.15,-65.47,-75.13,-78.23,-83.39,-86.43,-96.46,-87.64,-88.42,-91.54,,-101,-98.68,QC'd by Timtec
3,11112554,441975,C[C@H]1[C@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45,Active,99,,,Inhibitor,0.002,77.587,,Complete curve; high efficacy,-8.7,1.7885,0.979,-88.554,-10.967,-1.1,0 0 0 0 0 0 0 0 0 0 0 0,-93.95,-15.52,-48.86,,-81.85,-85.6,-87.1,,-87.82,-87.65,-88.19,-86.17,-90.11,-89.48,-93.95,,QC'd by Prestwick
4,11114294,6604953,CC(C)C1=NC(=C(C=C1)C(=O)C2=CC=CS2)SCCCCCCCCNC.C(C(=O)O)C(=O)O,Active,98,,,Inhibitor,0.0063,118.875,,Complete curve; high efficacy,-8.2,0.9,0.9832,-96.0206,22.8544,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-99.93,9.972,5.197,-27.4,-42.24,-65.14,-73.89,-82.52,-87.46,-100.9,-92.5,-90.42,-93.47,,-104.3,-99.93,QC'd by Tocris
5,11113683,6604753,CC[C@@H](C(=O)OC1C[C@H]2CC[C@@H](C1)N2C)OC3=CC=C(C=C3)Cl,Active,98,,,Inhibitor,0.0063,105.367,,Complete curve; high efficacy,-8.2,1.6259,0.9925,-94.7994,10.5678,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-98.93,12.31,-1.562,-18.17,-58.84,-77.82,-84.94,-89.02,-92.45,-93.32,-94.58,-94.36,-95.74,,-98.47,-98.93,QC'd by Tocris
